Data/hora da exportação;25/11/2023 às 10h4min
Observatório da Agropecuária Brasileira

Brasil;01/07/2022;até;31/10/2023

Filtros aplicados
Região;Todos(as);
UF;Todos(as);
Programa;Todos(as);
Subprograma;Todos(as);
Finalidade;Todos(as);
Atividade;Todos(as);
Fonte de recursos;Todos(as);
Gênero;Todos(as);
Instituição Financiera;Todos(as);
Modalidade;Todos(as);
Produto;Todos(as);
Segmento;Todos(as);

Programa;Subprograma;Região;UF;Finalidade;Quantidade (01/07/2022 - 31/10/2023);
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;BA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;BA;Investimento;3;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;BA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;BA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;ES;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;ES;Investimento;2;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;ES;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;ES;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;GO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;GO;Investimento;7;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;GO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;GO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;MG;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;MG;Investimento;12;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;MG;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;MG;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MS;Investimento;7;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MT;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MT;Investimento;1;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MT;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Centro-oeste;MT;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;PA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;PA;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;PA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;PA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;PE;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;PE;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;PE;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Nordeste;PE;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;PR;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;PR;Investimento;1;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;PR;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;PR;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;SC;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;SC;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;SC;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sul;SC;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;SP;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;SP;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;SP;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Sudeste;SP;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;TO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;TO;Investimento;3;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;TO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Adequação e/ou regularização ambiental;Norte;TO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;BA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;BA;Investimento;8;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;BA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;BA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;ES;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;ES;Investimento;5;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;ES;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;ES;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;GO;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;GO;Investimento;2;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;GO;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;GO;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;MA;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;MA;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;MA;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Nordeste;MA;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;MG;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;MG;Investimento;40;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;MG;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;MG;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;MS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;MS;Investimento;2;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;MS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Centro-oeste;MS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;PR;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;PR;Investimento;4;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;PR;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;PR;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;RS;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;RS;Investimento;42;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;RS;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;RS;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;SC;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;SC;Investimento;1;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;SC;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sul;SC;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;SP;Custeio;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;SP;Investimento;6;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;SP;Industrialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Florestas;Sudeste;SP;Comercialização;0;
Abc - programa para redução da emissão de gases de efeito estufa na agropecuária;Integração lavoura-pecuária-floresta e sist agroflorestais;Nordeste;BA;Custeio;0;
