,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Participação dos ramos e segmentos no PIB do agronegócio,,,,,,,,,,,,,,,,,,Participação dos segmentos em cada ramo do PIB do agronegócio,,,,,,,,,,,,,,,,
,Agronegócio,,,,,,Ramo Agrícola,,,,,,Ramo Pecuário,,,,,,Agronegócio,,,,,,Ramo Agrícola,,,,,,Ramo Pecuário,,,,
,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Agronegócio Total (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Agrícola (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Pecuário (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Agronegócio Total (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Agrícola (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Pecuário (A+B+C+D)
1996,"1,6%","11,7%","34,7%","52,1%","100,0%",,"1,0%","9,1%","28,7%","39,2%","78,0%",,"0,6%","2,5%","6,0%","12,9%","22,0%",,"1,6%","11,7%","34,7%","52,1%","100,0%",,"1,3%","11,7%","36,8%","50,2%","100,0%",,"2,6%","11,5%","27,3%","58,6%","100,0%"
1997,"1,8%","12,5%","34,3%","51,4%","100,0%",,"1,2%","9,7%","28,3%","38,3%","77,5%",,"0,6%","2,8%","6,0%","13,1%","22,5%",,"1,8%","12,5%","34,3%","51,4%","100,0%",,"1,5%","12,6%","36,5%","49,4%","100,0%",,"2,5%","12,3%","26,9%","58,3%","100,0%"
1998,"1,8%","13,2%","33,8%","51,1%","100,0%",,"1,2%","10,4%","28,1%","38,6%","78,3%",,"0,6%","2,8%","5,7%","12,5%","21,7%",,"1,8%","13,2%","33,8%","51,1%","100,0%",,"1,6%","13,2%","35,9%","49,3%","100,0%",,"2,7%","13,1%","26,4%","57,8%","100,0%"
1999,"2,0%","13,7%","33,5%","50,8%","100,0%",,"1,3%","10,5%","27,9%","38,8%","78,5%",,"0,7%","3,2%","5,5%","12,1%","21,5%",,"2,0%","13,7%","33,5%","50,8%","100,0%",,"1,6%","13,4%","35,6%","49,4%","100,0%",,"3,3%","14,7%","25,8%","56,1%","100,0%"
2000,"2,2%","12,8%","33,8%","51,2%","100,0%",,"1,5%","9,0%","28,5%","39,6%","78,6%",,"0,8%","3,8%","5,3%","11,5%","21,4%",,"2,2%","12,8%","33,8%","51,2%","100,0%",,"1,9%","11,4%","36,2%","50,4%","100,0%",,"3,6%","17,7%","24,8%","53,9%","100,0%"
2001,"2,5%","14,7%","32,4%","50,4%","100,0%",,"1,7%","10,4%","26,8%","37,9%","76,7%",,"0,8%","4,3%","5,6%","12,6%","23,3%",,"2,5%","14,7%","32,4%","50,4%","100,0%",,"2,2%","13,5%","34,9%","49,4%","100,0%",,"3,3%","18,4%","24,2%","54,0%","100,0%"
2002,"3,0%","16,9%","31,2%","48,9%","100,0%",,"1,9%","12,7%","26,2%","38,0%","78,9%",,"1,1%","4,2%","5,0%","10,9%","21,1%",,"3,0%","16,9%","31,2%","48,9%","100,0%",,"2,4%","16,1%","33,2%","48,2%","100,0%",,"5,0%","19,8%","23,7%","51,5%","100,0%"
2003,"3,9%","19,2%","29,6%","47,3%","100,0%",,"2,7%","14,5%","25,1%","37,5%","79,8%",,"1,2%","4,7%","4,5%","9,7%","20,2%",,"3,9%","19,2%","29,6%","47,3%","100,0%",,"3,3%","18,2%","31,5%","47,0%","100,0%",,"6,2%","23,3%","22,4%","48,2%","100,0%"
