,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Variação REAL Anual (em %) de cada segmento do PIB-RENDA do Agronegócio Cepea-USP/CNA,,,,,,,,,,,,,,,,,,Variação Anual (em %) de cada segmento do PIB-VOLUME do Agronegócio Cepea-USP/CNA,,,,,,,,,,,,,,,,
,Agronegócio,,,,,,Ramo Agrícola,,,,,,Ramo Pecuário,,,,,,Agronegócio,,,,,,Ramo Agrícola,,,,,,Ramo Pecuário,,,,
,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Agronegócio Total (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Agrícola (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Pecuário (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Agronegócio Total (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Agrícola (A+B+C+D),,(A) Insumos,(B) Agropecuária ,(C) Indústria,(D) Serviços,Ramo Pecuário (A+B+C+D)
1996,"10,85","-9,64","-15,96","-15,71","-14,81",,"10,96","-5,31","-18,44","-19,99","-17,62",,"10,66","-22,42","-1,76","0,62","-3,11",,"7,25","0,17","0,34","0,23","0,34",,"8,75","-1,09","0,15","-0,11","-0,03",,"4,62","3,91","1,41","1,50","1,89"
1997,"4,05","-0,13","-7,95","-8,12","-6,94",,"10,05","-0,73","-8,25","-9,04","-7,53",,"-6,52","1,99","-6,50","-5,32","-4,83",,"9,41","2,39","-0,82","-0,98","-0,37",,"15,89","2,67","-0,19","-0,03","0,43",,"-2,00","1,38","-3,81","-3,89","-3,21"
1998,"-0,99","0,52","-6,16","-5,26","-4,77",,"-0,95","1,50","-5,39","-3,95","-3,75",,"-1,07","-2,91","-9,75","-9,07","-8,29",,"2,59","3,67","-4,50","-4,06","-3,13",,"1,75","5,31","-3,66","-2,46","-1,86",,"4,33","-2,06","-8,44","-8,74","-7,51"
1999,"8,55","2,96","-1,83","-1,39","-0,78",,"3,19","0,83","-1,37","-0,36","-0,51",,"19,68","10,76","-4,06","-4,55","-1,76",,"-1,31","7,19","-0,74","0,25","0,80",,"-4,72","7,25","-0,70","0,51","0,89",,"5,77","6,97","-0,97","-0,57","0,48"
2000,"22,09","1,09","9,31","9,08","8,32",,"24,40","-7,50","10,46","10,78","8,43",,"17,94","29,71","3,56","3,63","7,93",,"13,54","6,34","3,00","3,71","4,03",,"18,56","2,29","3,49","4,24","3,94",,"4,53","19,80","0,55","2,02","4,34"
2001,"10,97","14,92","-4,06","-1,39","0,07",,"16,67","15,56","-6,02","-4,39","-2,31",,"0,21","13,38","6,49","8,92","8,79",,"9,43","13,25","-1,39","0,40","1,64",,"11,82","11,97","-1,96","-0,37","0,69",,"4,93","16,29","1,69","3,06","5,13"
2002,"23,26","18,54","-0,65","-0,09","3,05",,"15,62","26,08","1,01","3,44","5,93",,"40,06","0,29","-8,52","-10,74","-6,47",,"8,90","9,43","1,84","2,22","3,32",,"9,64","7,17","2,08","2,29","3,04",,"7,26","14,89","0,71","2,00","4,24"
2003,"33,88","16,32","-2,90","-1,14","2,30",,"41,50","16,82","-1,95","0,99","3,55",,"20,06","14,82","-7,88","-8,59","-2,36",,"12,60","13,08","-2,02","1,04","2,46",,"20,39","14,29","-1,77","1,75","3,06",,"-1,54","9,42","-3,38","-1,47","0,23"
